rate,latency_mean,latency_p95,latency_p99,success_rate
1,.940,1.523,1.913,1
501,.717,1.225,1.554,1
1001,.664,1.179,1.540,1
1501,.785,1.232,7.886,1
2001,1.097,2.257,15.326,1
2501,1.779,11.268,19.592,1
3001,2.395,14.094,20.623,1
3501,2.629,14.585,20.535,1
4001,3.461,16.889,24.282,1
4501,3.633,16.277,20.507,1
5001,3.902,16.785,20.662,1
5501,3.883,16.225,19.720,1
6001,4.648,17.887,24.099,1
6501,4.836,17.641,22.466,1
7001,5.180,17.774,22.429,1
7501,5.542,17.912,22.392,1
8001,6.034,18.542,24.566,1
8501,5.799,17.712,20.884,1
9001,6.653,19.212,26.005,1
9501,6.567,18.523,24.315,1
